bitcoin_price,bitcoin_volume,ethereum_price,ethereum_volume,litecoin_price,litecoin_volume,bitcoin_return,ethereum_return,litecoin_return,log_bitcoin_volume,log_ethereum_volume,log_litecoin_volume,bitcoin_ma7,ethereum_ma7,litecoin_ma7,bitcoin_ma30,ethereum_ma30,litecoin_ma30,bitcoin_volatility,ethereum_volatility,litecoin_volatility,bitcoin_return_lag1,ethereum_return_lag1,litecoin_return_lag1,btc_eth_corr,btc_ltc_corr,ltc_eth_corr
123382.85158826497,75694071892.11697,4515.321391965295,40355486904.311195,118.40951275981736,833519944.0042437,-0.0009986027162268707,0.0011376830015674688,-0.003684390040511354,25.04996568379653,24.420993205200972,20.541168189088072,123051.15513902697,4507.5990414440685,118.78550153158963,123256.58955610427,4523.313394109923,120.26179643785865,0.002439909920290464,0.0033804356085066793,0.0035195067889035683,0.0028092467370262053,0.0007364751286575988,0.0020374707914114776,-0.507263497203802,0.6154292750263571,-0.6574914585652147
124035.45055260476,77334345565.03494,4499.431159893875,41858026194.06346,119.2162302511377,810616770.0832938,0.005289219335905315,-0.0035191807386504292,0.00681294494435325,25.071404009074918,24.457549400321813,20.513305961659842,123197.09030532767,4506.482541222122,118.7671199017095,123325.4805571284,4524.875507198995,120.27126942947429,0.002997780525521128,0.003525942348571613,0.004631269292568806,-0.0009986027162268707,0.0011376830015674688,-0.003684390040511354,-0.5122872730843396,0.7406470995610216,-0.6693031835462386
124061.617924187,72613753203.61555,4529.113594340573,42646715652.205185,120.24397293879134,835075271.7385129,0.00021096687653132662,0.00659693045451526,0.008620828602687869,25.00842017891614,24.476216100960066,20.543032425744364,123405.19787576671,4507.851483271232,119.00045164928476,123394.80822417125,4526.909371171863,120.30977185083712,0.002335744408285478,0.0042899470808262265,0.004800391496418362,0.005289219335905315,-0.0035191807386504292,0.00681294494435325,-0.38943564903353284,0.5985454871539738,-0.1163723319482393
123952.57811836104,70189780274.97359,4538.0869890751,41027854932.56724,120.93921371433106,798158514.2764139,-0.0008789165226958939,0.001981269523851026,0.005781917867048625,24.974468557266025,24.437517061594335,20.497817776384892,123555.36743171467,4514.734124281015,119.26981646148435,123452.25237385821,4528.929559103641,120.3584711891387,0.0024918844745625227,0.003046287901937978,0.004984939741823246,0.00021096687653132662,0.00659693045451526,0.008620828602687869,-0.45722903426116884,0.540915548101844,0.01335330192082308
123526.92406197298,63250820574.572464,4534.914066844259,38077794855.62012,119.87096772998342,762460180.1887554,-0.0034340072860896687,-0.00069917615913484,-0.008832916566424265,24.87037393799672,24.36289713701584,20.45206084369046,123660.82932315672,4519.132636303467,119.44757535572107,123492.5779358027,4530.550940129168,120.35346891657856,0.0029845507372711286,0.0030505709500533483,0.00624518407041456,-0.0008789165226958939,0.001981269523851026,0.005781917867048625,-0.39394786273601723,0.6231283956529992,0.04081962006170649
123620.88419469338,58409434183.44461,4522.236285821373,35785932701.02267,120.72509065437708,692501314.8892413,0.0007606449641153201,-0.002795594544023672,0.007125352706900845,24.790743257987913,24.300820711847127,20.355820696225035,123726.6416629087,4521.327673307531,119.75034013700513,123532.31105450897,4531.576895421217,120.36102804240055,0.0028294523220582513,0.0033734630864279253,0.006520581287893551,-0.0034340072860896687,-0.00069917615913484,-0.008832916566424265,-0.408329085178482,0.6019071955965084,-0.04133659841520227
123915.26327021542,56612536682.25741,4528.671620899077,34585884461.87956,120.43746397087196,705317504.3727963,0.0023813053711734256,0.001423042643278416,-0.002382493000801067,24.75949629379952,24.26671147226975,20.37415862162483,123785.08138718565,4523.967872691364,119.9774931456157,123589.51424976601,4532.905852202528,120.35154505052385,0.0027762967811016987,0.0033917141538706403,0.006787217996811955,0.0007606449641153201,-0.002795594544023672,0.007125352706900845,-0.3676371431803621,0.5587416239577818,-0.05926858555082143
123377.11931871786,56901900682.476746,4558.303870715301,34014472190.518017,119.9735986307486,641805194.4500849,-0.004342838301719665,0.0065432542468912835,-0.0038515037167798916,24.764594581448332,24.25005192368987,20.279795381730487,123784.26249153606,4530.108226798508,120.20093398432016,123621.72265599892,4535.772979977026,120.2846158300337,0.0033089440039059145,0.0040824232312029795,0.006810471179207624,0.0023813053711734256,0.001423042643278416,-0.002382493000801067,-0.5097734352621688,0.6079111671847794,-0.22197365226886004
123864.61055726717,57297645315.99694,4532.384882690028,33228766487.13465,120.1823415750964,649856950.4736683,0.003951228892692615,-0.005686103594757963,0.0017399073356987316,24.771525365878517,24.226681798194644,20.29226282197808,123759.8567779164,4534.815901483673,120.33894988774284,123614.4879351079,4537.235742174302,120.15801928584077,0.0029740566233906187,0.004567530025250054,0.006461032965235628,-0.004342838301719665,0.0065432542468912835,-0.0038515037167798916,-0.6151369594221245,0.595180439458044,-0.2351725559808905
124007.44666647304,53541057154.67199,4562.375721769108,31617777857.953857,120.54899367496088,623488967.2913382,0.0011531631881234183,0.00661701065891851,0.0030507984372676322,24.703714620000053,24.176985389817812,20.250841629730306,123752.11802681441,4539.567633973464,120.38252427862422,123619.25116484049,4537.358857432717,120.07861942272824,0.0030164103828780567,0.004571597416679275,0.005687379527817412,0.003951228892692615,-0.005686103594757963,0.0017399073356987316,-0.5392626572824999,0.5346403822253002,-0.13171727008234768
