timestamp,bitcoin_price,volume,market_cap,timestamp,ethereum_price,volume,market_cap,timestamp,litecoin_price,volume,market_cap
2025-10-04 20:01:19.612,121968.72052188081,37753035853.6436,2429671086664.7563,2025-10-04 19:02:27.438,4452.567767221704,23545501053.40264,537888283746.0992,2025-10-04 20:03:23.003,118.93204050266893,535636235.4114004,9084779235.489908
2025-10-04 21:02:04.831,121981.7879129011,36244418904.760376,2431194526135.706,2025-10-04 20:02:51.781,4468.097675154539,22140665983.702538,539223948343.6527,2025-10-04 21:02:04.035,119.08890029790531,513515596.52259845,9094044632.470926
2025-10-04 22:02:01.545,122229.25362775213,36233802297.072495,2435776132966.2305,2025-10-04 21:02:04.113,4477.4813511217835,21248684733.92312,540534171621.363,2025-10-04 22:01:30.844,119.47823356528417,531287187.109998,9121779553.90861
2025-10-04 23:01:59.170,122317.15720363855,35804303691.43797,2438409741153.8447,2025-10-04 22:02:02.091,4486.272636078416,21341103199.09954,541476520519.191,2025-10-04 23:01:24.421,120.02103590678742,487246343.429944,9163741814.783665
2025-10-05 00:01:39.347,122428.89063350529,34849439420.54489,2438832157552.7866,2025-10-04 23:02:21.137,4491.457627059921,21091887712.22086,542070482843.83405,2025-10-05 00:01:24.255,120.49831687971734,512538716.1755076,9196556151.95988
2025-10-05 01:01:41.291,122199.16741250416,34045193781.38118,2435624791432.458,2025-10-05 00:01:15.917,4488.802917459776,20425604688.928185,541611848322.7991,2025-10-05 01:01:16.751,120.72195372717331,484301765.94342446,9217068487.829979
2025-10-05 02:01:52.572,122410.86713173108,33144418031.875656,2439408088907.221,2025-10-05 01:01:39.759,4472.29003748035,20008929935.825348,540009900402.86456,2025-10-05 02:01:21.075,121.9814752454529,491908979.2192017,9320539964.31683
2025-10-05 03:01:42.778,124081.65218399749,38457413917.6263,2467039255560.604,2025-10-05 02:01:54.055,4488.502016771756,19704774791.945274,541522948463.7994,2025-10-05 03:02:23.883,123.98023790088436,494612655.7007071,9463989316.44202
2025-10-05 04:00:17.917,123864.54977449554,41162379686.91932,2468495645758.4775,2025-10-05 03:01:49.151,4558.682264016641,22654862432.723515,546896589998.5095,2025-10-05 04:00:29.282,122.93098956833668,576906884.436731,9413731377.73587
2025-10-05 05:02:34.157,125360.89741769346,47668443148.030914,2497967258283.7124,2025-10-05 04:00:18.197,4543.779572457775,25022019301.358368,548371066258.926,2025-10-05 05:02:33.681,121.73522789832913,591926497.406702,9297428742.012789
2025-10-05 06:01:25.307,125108.59532167426,53100579565.73088,2491357864818.277,2025-10-05 05:02:32.148,4578.838742153825,26728410638.84427,552702387397.5532,2025-10-05 06:01:12.250,121.58624303717019,653523780.3924283,9277102238.532972
2025-10-05 07:01:20.881,125009.65624665703,54682041041.64882,2492156015210.36,2025-10-05 06:01:26.301,4568.077219836503,28400073098.428898,550651743607.9008,2025-10-05 07:02:21.502,120.97953476153853,666969846.23661,9247576352.694448
2025-10-05 08:01:28.313,124763.28494640093,56778019023.68278,2489149696282.298,2025-10-05 07:01:41.367,4561.333974777966,29348994538.471294,550498387902.9117,2025-10-05 08:01:36.013,122.14663525402298,711012089.2086477,9328044591.853271
2025-10-05 09:01:36.702,124606.87490812004,56484517665.3502,2484464074365.453,2025-10-05 08:01:37.159,4607.969782593065,32121691385.093426,555515075179.3423,2025-10-05 09:01:43.726,122.00248515602186,737457952.471791,9313555401.821716
2025-10-05 10:01:48.997,123148.92722406694,61394645587.831055,2455490153023.3965,2025-10-05 09:02:38.941,4586.691546837045,33642396550.57612,553582665986.3639,2025-10-05 10:02:07.120,120.88623514205581,766355378.5480705,9234764294.28121
2025-10-05 11:01:08.974,123032.59682670924,64223992318.12545,2452736028724.2666,2025-10-05 10:02:07.396,4558.99064906051,35951356091.44627,550064839914.2733,2025-10-05 11:02:27.014,120.05171905100441,742455201.716345,9170883196.18427
2025-10-05 12:02:01.725,123486.10683115444,65426060829.42344,2458841422727.2837,2025-10-05 11:00:48.766,4543.185612555307,37845018478.589516,548562581036.0534,2025-10-05 12:00:23.674,120.16843797999913,774181803.6095104,9180373854.086153
2025-10-05 13:01:55.949,123186.39058415455,67053204729.098854,2455634334885.701,2025-10-05 12:01:58.059,4553.804953785562,38863259478.27304,549810085607.2039,2025-10-05 13:01:49.116,119.87841837028212,797832265.4214514,9155647450.266455
2025-10-05 14:02:03.215,123146.53653887067,67578998788.74197,2454433048410.782,2025-10-05 13:01:43.323,4536.602233630946,38608728452.550354,547934922033.4804,2025-10-05 14:01:12.666,120.34932145608886,783357085.7178195,9194104270.256823
2025-10-05 15:01:08.499,123045.57811134712,68138207816.92534,2451940576164.6675,2025-10-05 14:02:02.882,4536.534297696243,38831418275.90832,547473324907.7797,2025-10-05 15:02:41.216,119.94094745900537,766673976.9527714,9159771926.294153
2025-10-05 16:02:12.083,122820.55381383385,66803619089.03577,2447667456944.744,2025-10-05 15:02:40.649,4535.365139003305,39044732632.4444,547364673597.6075,2025-10-05 16:01:41.496,119.82581778032474,767510028.9769471,9147699965.84706
2025-10-05 17:02:05.428,123029.81103351283,66640927471.24574,2447934345631.815,2025-10-05 16:02:25.322,4532.56664864956,37367233753.29915,546994150510.35284,2025-10-05 17:01:27.639,119.85781885679941,802162224.8218873,9138204223.795341
2025-10-05 18:03:21.554,123111.74450333769,68596301418.184616,2452228851269.885,2025-10-05 17:01:56.866,4518.313867786725,37696067965.16476,544160716855.2279,2025-10-05 18:02:15.568,119.31335661777901,798724697.918633,9122879815.27335
